FDID,RESPONSE_TIME,FIRE_CLEARANCE_TIME
1005,5.0,34.0
1005,6.0,135.0
1005,5.0,22.0
1005,2.0,24.0
1005,6.0,4.0
1005,4.0,3.0
1005,5.0,1.0
1005,6.0,6.0
1005,0.0,26.0
1005,5.0,5.0
1005,6.0,14.0
1005,3.0,32.0
1005,7.0,12.0
1005,4.0,45.0
1005,5.0,38.0
1005,5.0,41.0
1005,4.0,6.0
1005,6.0,12.0
1005,4.0,15.0
1005,2.0,36.0
1005,7.0,7.0
1005,6.0,2.0
1005,12.0,30.0
1005,2.0,17.0
1005,2.0,16.0
1005,5.0,31.0
1005,4.0,9.0
1005,4.0,60.0
1005,2.0,9.0
1005,6.0,13.0
1005,5.0,4.0
1005,6.0,189.0
1005,6.0,6.0
1005,5.0,33.0
1005,5.0,64.0
1005,7.0,14.0
1005,6.0,27.0
1005,6.0,48.0
1005,5.0,6.0
1005,6.0,7.0
1005,9.0,40.0
1005,4.0,3.0
1005,7.0,44.0
1005,4.0,8.0
1005,3.0,13.0
1005,4.0,29.0
1005,4.0,45.0
1005,4.0,13.0
1005,3.0,203.0
1005,5.0,16.0
1005,3.0,18.0
1005,8.0,8.0
1005,5.0,5.0
1005,5.0,29.0
1005,4.0,7.0
1005,5.0,17.0
1005,3.0,35.0
1005,4.0,8.0
1005,7.0,54.0
1005,3.0,8.0
1005,6.0,26.0
1005,5.0,17.0
1005,6.0,6.0
1005,4.0,24.0
1005,5.0,50.0
1005,3.0,36.0
1005,8.0,6.0
1005,3.0,2.0
1005,8.0,0.0
1005,5.0,19.0
1005,7.0,49.0
1005,2.0,256.0
1005,5.0,73.0
1005,4.0,3.0
1005,8.0,68.0
1005,7.0,11.0
1005,3.0,23.0
1005,16.0,15.0
1005,5.0,6.0
1005,3.0,35.0
1005,6.0,3.0
1005,3.0,9.0
1005,3.0,60.0
1005,6.0,39.0
1005,5.0,10.0
1005,10.0,20.0
1005,4.0,4.0
1005,4.0,43.0
1005,7.0,5.0
1005,6.0,23.0
1005,1.0,10.0
1005,7.0,2.0
1005,6.0,29.0
1005,1.0,30.0
1005,2.0,60.0
1005,5.0,44.0
1005,5.0,7.0
1005,11.0,47.0
1005,4.0,110.0
1005,4.0,27.0
1005,4.0,12.0
1005,4.0,100.0
1005,5.0,89.0
1005,5.0,7.0
1005,5.0,72.0
1005,4.0,29.0
1005,0.0,5.0
1005,3.0,47.0
1005,6.0,9.0
1005,1.0,13.0
1005,4.0,24.0
1005,2.0,1.0
1005,3.0,7.0
1005,5.0,25.0
1005,7.0,26.0
1005,3.0,15.0
1005,6.0,11.0
1005,3.0,59.0
1005,4.0,12.0
1005,3.0,18.0
1005,3.0,9.0
1005,5.0,16.0
1005,5.0,27.0
1005,9.0,3.0
1005,4.0,4.0
1005,3.0,3.0
1005,8.0,3.0
1005,5.0,1.0
1005,4.0,142.0
1005,5.0,101.0
1005,5.0,43.0
1005,0.0,19.0
1005,7.0,52.0
1005,5.0,3.0
1005,4.0,7.0
1005,5.0,104.0
1005,10.0,44.0
1005,5.0,30.0
1005,2.0,11.0
1005,3.0,3.0
1005,7.0,20.0
1005,4.0,10.0
1005,3.0,5.0
1005,3.0,110.0
1005,1.0,7.0
1005,3.0,4.0
1005,4.0,7.0
1005,8.0,12.0
1005,6.0,20.0
1005,5.0,10.0
1005,8.0,14.0
1005,9.0,0.0
1005,5.0,5.0
1005,5.0,32.0
1005,4.0,2.0
1005,4.0,1.0
1005,2.0,10.0
1005,4.0,19.0
1005,6.0,15.0
1005,6.0,8.0
1005,3.0,14.0
1005,2.0,26.0
1005,6.0,13.0
1005,7.0,1.0
1005,6.0,35.0
1005,6.0,35.0
1005,4.0,9.0
1005,7.0,7.0
1005,3.0,106.0
1005,8.0,62.0
1005,5.0,40.0
1005,4.0,29.0
1005,8.0,13.0
1005,6.0,18.0
1005,5.0,4.0
1005,7.0,14.0
1005,5.0,51.0
1005,8.0,6.0
1005,5.0,13.0
1005,5.0,20.0
1005,6.0,25.0
1005,9.0,5.0
1005,5.0,5.0
1005,3.0,5.0
1005,4.0,11.0
1005,4.0,44.0
1005,5.0,15.0
1005,5.0,104.0
1005,4.0,53.0
1005,9.0,0.0
1005,3.0,82.0
1005,5.0,25.0
1008,5.0,1.0
1008,4.0,4.0
1008,5.0,10.0
1008,3.0,4.0
1008,4.0,11.0
1008,6.0,15.0
1008,4.0,177.0
1008,7.0,10.0
1008,5.0,4.0
1008,5.0,8.0
1008,4.0,3.0
1008,5.0,13.0
1008,9.0,1.0
1008,4.0,24.0
1008,5.0,8.0
1008,4.0,43.0
1008,7.0,0.0
1008,7.0,1.0
1008,6.0,28.0
1008,12.0,19.0
1008,4.0,17.0
1008,6.0,54.0
1008,4.0,30.0
1008,2.0,38.0
1008,7.0,72.0
1008,6.0,55.0
1008,5.0,3.0
1008,18.0,0.0
1008,5.0,1.0
1008,3.0,21.0
1008,26.0,1.0
1008,5.0,7.0
1008,9.0,5.0
1008,5.0,5.0
1008,5.0,9.0
1008,3.0,6.0
1008,3.0,2.0
1008,8.0,28.0
1008,7.0,37.0
1008,5.0,60.0
1008,4.0,14.0
1008,4.0,19.0
1008,5.0,23.0
1008,0.0,2.0
1008,4.0,93.0
1008,3.0,43.0
1008,4.0,45.0
1008,4.0,11.0
1008,4.0,35.0
1008,6.0,35.0
1008,7.0,4.0
1008,6.0,22.0
1008,4.0,36.0
1008,4.0,58.0
1008,3.0,47.0
1008,8.0,8.0
1008,4.0,13.0
1008,2.0,4.0
1008,3.0,6.0
1008,5.0,15.0
1008,5.0,446.0
1008,7.0,5.0
1008,5.0,11.0
1008,4.0,6.0
1008,3.0,41.0
1008,5.0,14.0
1008,4.0,10.0
1008,1.0,11.0
1008,3.0,41.0
1008,4.0,27.0
1008,4.0,53.0
1008,7.0,5.0
1008,4.0,3.0
1008,6.0,156.0
1008,3.0,45.0
1008,15.0,4.0
1008,9.0,74.0
1008,4.0,16.0
1008,5.0,3.0
1008,6.0,42.0
1008,4.0,163.0
1008,10.0,4.0
1008,5.0,5.0
1008,6.0,3.0
1008,5.0,1.0
1008,4.0,5.0
1008,7.0,7.0
1008,4.0,6.0
1008,3.0,1.0
1008,1.0,12.0
1008,13.0,19.0
1008,6.0,11.0
1008,2.0,3.0
1008,6.0,0.0
1008,2.0,7.0
1008,6.0,7.0
1008,4.0,7.0
1008,7.0,0.0
1008,3.0,105.0
1008,3.0,3.0
1008,3.0,56.0
1008,4.0,5.0
1008,8.0,2.0
1008,3.0,4.0
1008,4.0,2.0
1008,6.0,7.0
1008,8.0,0.0
1008,4.0,26.0
1008,9.0,0.0
