FDID,INC_TYPE,DISTRICT,PROP_LOSS,CONT_LOSS,PROP_VAL,CONT_VAL,PROP_USE,RESPONSE_TIME,FIRE_CLEARANCE_TIME,MONTH,HOUR
1005,113,270,0.0,0.0,0.0,0.0,419,4.0,22.0,10,12
1005,151,270,0.0,300.0,0.0,300.0,965,4.0,17.0,10,6
1005,118,270,0.0,0.0,0.0,0.0,937,3.0,9.0,10,18
1005,132,270,2500.0,0.0,2500.0,0.0,960,7.0,47.0,11,5
1005,151,270,0.0,0.0,0.0,0.0,900,5.0,4.0,11,21
1005,113,270,0.0,0.0,0.0,0.0,429,6.0,66.0,11,1
1005,118,270,100.0,100.0,100.0,1000.0,921,4.0,144.0,11,18
1005,151,270,0.0,0.0,0.0,0.0,962,0.0,55.0,11,14
1005,151,270,0.0,0.0,0.0,0.0,898,3.0,9.0,11,17
1005,112,270,0.0,0.0,0.0,0.0,961,4.0,25.0,12,17
1005,150,270,0.0,0.0,0.0,0.0,963,5.0,5.0,12,9
1005,118,270,0.0,0.0,0.0,0.0,963,3.0,4.0,2,19
1005,118,270,200.0,0.0,200.0,0.0,965,4.0,23.0,2,17
1005,111,270,1000.0,1000.0,1000.0,1000.0,429,2.0,17.0,2,21
1005,111,270,500.0,0.0,500.0,0.0,142,5.0,56.0,2,19
1005,118,270,0.0,0.0,0.0,0.0,900,5.0,31.0,2,22
1005,111,270,1000.0,2000.0,2000.0,2000.0,429,5.0,68.0,2,13
1005,142,270,0.0,0.0,0.0,0.0,936,7.0,53.0,2,18
1005,150,270,0.0,0.0,0.0,0.0,419,4.0,6.0,2,18
1005,113,270,0.0,0.0,0.0,0.0,419,6.0,4.0,2,18
1005,150,270,0.0,0.0,0.0,0.0,960,6.0,4.0,2,20
1005,112,270,0.0,0.0,0.0,0.0,419,3.0,19.0,2,17
1005,118,270,0.0,0.0,0.0,0.0,900,2.0,7.0,3,18
1005,151,270,0.0,0.0,0.0,0.0,937,6.0,8.0,3,18
1005,118,270,0.0,100.0,200.0,100.0,429,3.0,77.0,3,18
1005,111,270,300000.0,50000.0,15000000.0,50000.0,419,3.0,187.0,3,15
1005,111,270,20000.0,1000.0,20000.0,1000.0,429,3.0,88.0,3,16
1005,150,270,0.0,0.0,0.0,0.0,937,5.0,12.0,3,21
1005,118,270,0.0,0.0,0.0,0.0,900,5.0,5.0,3,14
1005,118,270,0.0,0.0,0.0,0.0,900,5.0,8.0,3,15
1005,131,270,30000.0,2000.0,30000.0,2000.0,962,5.0,73.0,3,16
1005,151,270,0.0,0.0,0.0,0.0,965,6.0,17.0,3,5
1005,151,270,0.0,0.0,0.0,0.0,965,5.0,11.0,4,0
1005,131,270,25000.0,0.0,25000.0,0.0,962,5.0,35.0,4,1
1005,151,270,0.0,0.0,0.0,0.0,936,3.0,8.0,4,1
1005,111,270,1000.0,0.0,3000.0,0.0,800,4.0,72.0,4,7
1005,151,270,100.0,0.0,100.0,0.0,963,6.0,13.0,4,0
1005,111,270,20000.0,10000.0,20000.0,10000.0,419,5.0,52.0,4,11
1005,114,270,0.0,0.0,0.0,0.0,419,4.0,3.0,4,14
1005,111,270,2000.0,10000.0,2000.0,10000.0,419,6.0,215.0,5,14
1005,140,270,0.0,0.0,0.0,0.0,936,4.0,20.0,5,15
1005,131,270,10000.0,5000.0,10000.0,5000.0,419,5.0,48.0,5,13
1005,118,270,0.0,0.0,0.0,0.0,962,5.0,9.0,5,7
1005,142,270,0.0,0.0,0.0,0.0,937,3.0,22.0,5,15
1005,113,270,0.0,0.0,0.0,0.0,429,3.0,26.0,5,11
1005,113,270,0.0,0.0,0.0,0.0,937,6.0,3.0,5,6
1005,120,270,15000.0,15000.0,15000.0,15000.0,419,3.0,132.0,5,11
1005,151,270,0.0,0.0,0.0,0.0,931,5.0,6.0,5,19
1005,154,270,1000.0,0.0,1000.0,0.0,580,4.0,29.0,5,4
1005,111,270,50000.0,10000.0,50000.0,10000.0,311,5.0,86.0,5,23
1005,150,270,0.0,2500.0,0.0,2500.0,900,5.0,40.0,6,2
1005,151,270,0.0,25.0,0.0,25.0,963,6.0,6.0,6,10
1005,151,270,0.0,0.0,0.0,0.0,963,4.0,5.0,6,18
1005,150,270,0.0,0.0,0.0,0.0,937,5.0,5.0,6,22
1005,150,270,0.0,0.0,0.0,0.0,951,13.0,16.0,6,4
1005,113,270,0.0,0.0,0.0,0.0,429,4.0,24.0,6,13
1005,111,270,0.0,0.0,0.0,0.0,419,3.0,12.0,6,7
1005,151,270,0.0,0.0,0.0,0.0,963,6.0,18.0,6,6
1005,150,270,0.0,0.0,0.0,0.0,937,11.0,1.0,6,19
1005,118,270,0.0,0.0,0.0,0.0,965,1.0,8.0,7,23
1005,130,270,12000.0,2000.0,12000.0,2000.0,965,7.0,112.0,7,1
1005,118,270,0.0,0.0,0.0,0.0,962,6.0,1.0,7,22
1005,111,270,0.0,0.0,0.0,0.0,419,3.0,11.0,7,10
1005,111,270,0.0,300.0,0.0,300.0,419,1.0,82.0,7,16
1005,151,270,0.0,0.0,0.0,0.0,965,3.0,3.0,7,21
1005,162,270,0.0,0.0,0.0,0.0,962,3.0,76.0,7,7
1005,150,270,100.0,0.0,100.0,0.0,936,5.0,5.0,7,9
1005,131,270,1000.0,500.0,1000.0,500.0,962,18.0,2.0,7,6
1005,113,270,0.0,0.0,0.0,0.0,419,5.0,26.0,7,8
1005,140,270,0.0,0.0,0.0,0.0,936,13.0,2.0,7,23
1005,118,270,0.0,0.0,0.0,0.0,936,7.0,12.0,7,14
1005,111,270,20000.0,20000.0,20000.0,20000.0,161,0.0,147.0,7,9
1005,151,270,0.0,0.0,0.0,0.0,965,5.0,6.0,8,23
1005,140,270,0.0,0.0,0.0,0.0,937,7.0,4.0,8,1
1005,151,270,0.0,0.0,0.0,0.0,965,5.0,3.0,8,22
1005,151,270,0.0,0.0,0.0,0.0,922,4.0,11.0,9,6
1005,150,270,1000.0,10000.0,1000.0,10000.0,962,6.0,42.0,9,23
1005,151,270,0.0,0.0,0.0,0.0,900,8.0,15.0,9,19
1005,111,270,0.0,50.0,0.0,50.0,429,5.0,29.0,9,4
1005,150,270,100.0,50.0,100.0,50.0,931,5.0,32.0,9,14
1005,151,270,0.0,0.0,0.0,0.0,961,3.0,6.0,9,20
1005,132,270,40000.0,0.0,40000.0,0.0,962,11.0,67.0,9,17
1005,113,270,0.0,0.0,0.0,0.0,419,3.0,12.0,9,22
1005,118,270,0.0,0.0,0.0,0.0,965,8.0,8.0,9,3
1005,151,270,0.0,0.0,0.0,0.0,936,3.0,5.0,9,19
1005,131,270,5000.0,0.0,5000.0,0.0,962,5.0,65.0,9,11
1005,113,270,0.0,1000.0,0.0,1000.0,419,2.0,18.0,9,13
1005,111,270,100000.0,50000.0,100000.0,50000.0,429,5.0,168.0,9,3
1005,150,270,0.0,0.0,0.0,0.0,937,5.0,5.0,9,20
1005,142,270,0.0,0.0,0.0,0.0,900,8.0,37.0,10,20
1005,151,270,0.0,0.0,0.0,0.0,965,8.0,8.0,10,17
1005,150,270,0.0,0.0,0.0,0.0,931,8.0,0.0,10,1
1005,137,270,5000.0,0.0,5000.0,0.0,963,8.0,8.0,10,13
