FDID,RESPONSE_TIME,FIRE_CLEARANCE_TIME,DEPT_STA,INC_TYPE,SHIFT,PROP_VAL
1080,92.0,209.0,11,100,,0.0
3006,13.0,23.0,114,140,,0.0
3006,14.0,164.0,116,122,,1000.0
3006,14.0,97.0,116,111,,0.0
3006,11.0,5.0,114,100,,0.0
3006,16.0,3.0,114,140,,0.0
3006,19.0,39.0,111,170,,0.0
3006,10.0,34.0,114,140,,0.0
3006,12.0,20.0,122,140,,0.0
3006,17.0,56.0,122,143,,0.0
3006,10.0,85.0,111,141,,0.0
3006,11.0,45.0,114,111,,1000000.0
3006,6.0,10.0,116,111,,0.0
3006,8.0,4.0,114,140,,0.0
3006,14.0,34.0,116,140,,0.0
3006,18.0,40.0,111,131,,4000.0
3006,22.0,1146.0,122,111,,50000.0
3006,7.0,40.0,122,113,,0.0
3006,7.0,24.0,114,114,,0.0
3006,12.0,66.0,116,151,,0.0
3006,7.0,14.0,116,131,,0.0
3006,12.0,82.0,111,141,,0.0
3006,10.0,27.0,116,111,,0.0
3006,11.0,40.0,122,131,,4000.0
3006,11.0,32.0,122,150,,0.0
3006,19.0,0.0,122,111,,0.0
3006,17.0,37.0,122,111,,250000.0
3006,7.0,8.0,116,151,,0.0
3006,7.0,26.0,116,131,,6000.0
3006,8.0,42.0,116,111,,0.0
3006,21.0,60.0,122,142,,0.0
3006,5.0,261.0,122,111,,390000.0
3006,20.0,15.0,114,118,,0.0
3006,10.0,27.0,111,100,,500.0
3006,8.0,15.0,114,143,,0.0
3006,20.0,31.0,122,140,,0.0
3006,18.0,205.0,122,142,,0.0
3006,3.0,20.0,111,118,,0.0
3006,13.0,22.0,111,112,,0.0
3006,8.0,14.0,111,100,,0.0
3006,10.0,8.0,114,100,,0.0
3006,7.0,253.0,116,111,,0.0
3006,17.0,6.0,111,118,,0.0
3006,32.0,111.0,122,142,,0.0
3006,5.0,15.0,114,131,,10000.0
3006,5.0,56.0,116,142,,0.0
3006,18.0,332.0,116,141,,0.0
3006,12.0,36.0,122,142,,0.0
3006,9.0,45.0,122,143,,0.0
3006,15.0,6.0,122,140,,0.0
3006,14.0,3.0,114,100,,0.0
3006,8.0,15.0,116,161,,0.0
3006,4.0,65.0,116,141,,0.0
3006,24.0,285.0,122,141,,50000.0
3006,44.0,39.0,111,141,,0.0
3006,6.0,37.0,122,131,,35000.0
3006,7.0,65.0,116,143,,0.0
3006,6.0,85.0,116,143,,0.0
3006,16.0,2.0,122,113,,0.0
3006,15.0,26.0,114,100,,0.0
3006,5.0,7.0,116,111,,0.0
3006,9.0,2.0,111,113,,0.0
3006,7.0,153.0,114,131,,0.0
3006,9.0,47.0,111,162,,0.0
3006,10.0,48.0,116,141,,0.0
3006,12.0,16.0,122,140,,0.0
3006,28.0,180.0,122,111,,0.0
3006,23.0,31.0,122,111,,0.0
3006,8.0,274.0,122,140,,5000.0
3006,8.0,80.0,114,131,,0.0
3006,16.0,5.0,122,118,,0.0
3006,11.0,68.0,116,100,,0.0
3006,8.0,48.0,111,111,,2500.0
3006,8.0,23.0,111,118,,0.0
3006,6.0,2.0,116,131,,0.0
3006,36.0,20.0,111,141,,0.0
3006,6.0,124.0,116,143,,0.0
3006,9.0,86.0,116,151,,0.0
3006,8.0,21.0,114,100,,0.0
3006,12.0,5.0,111,100,,0.0
3006,9.0,31.0,116,132,,0.0
3006,61.0,89.0,116,141,,0.0
3006,7.0,23.0,114,116,,0.0
3006,26.0,20.0,122,142,,0.0
3006,10.0,63.0,114,141,,0.0
3006,11.0,44.0,122,111,,0.0
3006,6.0,159.0,122,121,,75000.0
3006,13.0,89.0,122,143,,0.0
3006,17.0,7.0,122,111,,0.0
3006,24.0,0.0,116,142,,0.0
3006,8.0,3.0,116,131,,30000.0
3006,14.0,6.0,122,100,,0.0
3006,6.0,49.0,114,114,,0.0
3006,9.0,118.0,116,142,,0.0
3006,9.0,195.0,116,143,,0.0
3006,7.0,126.0,122,143,,0.0
3006,36.0,19.0,116,170,,0.0
3006,15.0,67.0,122,131,,25000.0
3006,7.0,12.0,116,113,,0.0
3006,24.0,180.0,122,111,,0.0
3006,23.0,66.0,122,112,,5000.0
3006,9.0,36.0,114,114,,0.0
3006,9.0,128.0,114,131,,0.0
3006,9.0,17.0,111,100,,0.0
3006,5.0,67.0,116,137,,0.0
3006,15.0,38.0,114,140,,0.0
3015,14.0,108.0,171,142,,0.0
3015,6.0,82.0,171,134,B,50000.0
3015,7.0,111.0,171,140,C,0.0
